"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009792","GO:0009792","embryo development ending in birth or egg hatching","34/1308","248/18842",0.137096774193548,1.97490628391043,4.22102226025051,0.000109732989539742,0.0034892021219385,0.0034892021219385,"STIL/NKX2-5/TRIM71/CELF4/CDX2/LHX1/HORMAD1/RIPPLY3/HOXB9/HOXA11/FOXI3/PLK4/FOXD3/UCMA/FOXC2/SCEL/SOX11/RIPPLY2/GRHL3/E2F7/PAX1/MTHFD1L/ASCL2/SOX8/DLX4/ZIC3/HOXC11/MESP2/DLX5/E2F8/MYH6/DLX6/SCX/COL2A1",34
"GO:0048568","GO:0048568","embryonic organ development","34/1308","248/18842",0.137096774193548,1.97490628391043,4.22102226025051,0.000109732989539742,0.0034892021219385,0.0034892021219385,"STIL/NKX2-5/LHX1/FOXL2/HOXB9/HOXA11/FBN3/PLK4/SIX3/SOX11/SCT/MYO3B/POU3F4/E2F7/SIX2/EN2/SHH/FBN2/TBX20/MTHFD1L/TIFAB/FOXH1/ASCL2/MYO3A/ZIC3/HOXC11/OTOP1/E2F8/MFAP2/ZIC1/EN1/TH/COL2A1/CXCL8",34
"GO:0001906","GO:0001906","cell killing","33/1308","238/18842",0.138655462184874,1.99735949425642,4.22914314442566,0.000110562258093411,0.00349115685799124,0.00349115685799124,"CR1L/IL21/CXCL11/GBP5/SERPINB4/PGLYRP3/RAET1L/IGHE/IGHG1/H2BC11/PGLYRP4/FCGR1A/CCL25/F2/CCL17/CXCL10/KIR2DL4/CD1A/KRT6A/CCL11/LYZ/CD1B/GZMB/TIGIT/ULBP2/H2BC12/CCL1/ULBP1/CXCL9/IL12B/CCL20/HTN1/CXCL8",33
"GO:0021537","GO:0021537","telencephalon development","27/1308","180/18842",0.15,2.16077981651376,4.2738802916185,0.000121845807975939,0.00373744982579913,0.00373744982579913,"CNTNAP2/SALL3/FEZF1/WDR62/SRD5A2/NEFL/SLC32A1/LHX1/TACC3/SIX3/LRP8/SCT/ARHGAP11B/PAX6/EFNA2/HTR6/RTN4R/ZIC3/KIF14/SMC4/NPY/EZH2/SLC2A1/DRAXIN/ZIC1/INHBA/TBR1",27
"GO:0032467","GO:0032467","positive regulation of cytokinesis","12/1308","50/18842",0.24,3.45724770642202,4.75185067136232,0.000122052101468154,0.00373744982579913,0.00373744982579913,"RACGAP1/RXFP3/CDC6/BIRC5/ECT2/CDC25B/AURKB/CDCA8/KIF23/CIT/KIF14/CXCR5",12
"GO:0045842","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","7/1308","18/18842",0.388888888888889,5.60202174651716,5.33512141859412,0.000123124180932536,0.00373744982579913,0.00373744982579913,"ESPL1/CDC20/SKA1/PLK1/UBE2C/DLGAP5/SKA3",7
"GO:0051177","GO:0051177","meiotic sister chromatid cohesion","7/1308","18/18842",0.388888888888889,5.60202174651716,5.33512141859412,0.000123124180932536,0.00373744982579913,0.00373744982579913,"SMC1B/HORMAD1/SGO1/BUB1/SGO2/RAD21L1/BUB1B",7
"GO:0048729","GO:0048729","tissue morphogenesis","49/1308","408/18842",0.120098039215686,1.73003612760089,4.07173953083978,0.000123671454943678,0.00373744982579913,0.00373744982579913,"ACTA1/STIL/ANKRD1/NKX2-5/BRSK2/WNT10A/SH3BP1/ARTN/CARMIL2/KRT34/LHX1/MYLK2/FOXD1/HOXA11/KIF26B/TRIM15/DKK1/KRT16/SAPCD2/WT1/GATA5/MSGN1/SIX3/SOX11/GRHL3/WNT7A/MMP12/CXCL10/NKX2-1/SIX2/KRT6A/SHH/LCN2/HMGA2/TBX20/KRT20/MTHFD1L/FOXH1/SOX8/ZIC3/TNNI3/MESP2/HS3ST3A1/KRT38/MYH6/POU4F1/KRT9/SCX/HTN1",49
"GO:0048598","GO:0048598","embryonic morphogenesis","44/1308","354/18842",0.124293785310734,1.79047668411686,4.10072905127658,0.000123905503637485,0.00373744982579913,0.00373744982579913,"FN1/STIL/NKX2-5/OTX2/FOXA2/LHX1/FOXL2/HOXB9/HOXA11/FBN3/TRIM15/DKK1/MSGN1/HOXD13/SIX3/COL11A1/SOX11/GRHL3/MYO3B/WNT7A/POU3F4/SIX2/SHH/FBN2/PITX1/HMGA2/TBX20/MTHFD1L/TIFAB/FOXH1/MYO3A/SOX8/ZIC3/HOXC11/MESP2/OTOP1/SOX2/MFAP2/ZIC1/INHBA/SCX/MMP9/TH/COL2A1",44
"GO:0033314","GO:0033314","mitotic DNA replication checkpoint signaling","6/1308","13/18842",0.461538461538462,6.6485532815808,5.56430111239583,0.000124115883812551,0.00373744982579913,0.00373744982579913,"CDC6/TICRR/CLSPN/CDC7/DONSON/ORC1",6
